X MV,X O2,X Ar,X N2,Equivalence Ratio,Initial Temperature (K),Initial Pressure (bar),Compression Time (ms),Compressed Pressure (bar),Compressed Temperature (K),1000/Tc (1/K),Ignition Delay (ms),Ignition Delay Error (ms),First Stage Delay (ms),First Stage Error (ms)
0.0065,0.2087,0.7848,0,0.25,348,0.7927,30,14.98,938,1.0657,88.62,2.73,,
0.0065,0.2087,0.7848,0,0.25,348,0.7744,34,14.98,945,1.0578,74.66,1.82,,
0.0065,0.2087,0.7848,0,0.25,348,0.7308,35,15.01,964,1.0374,46.08,0.67,,
0.0065,0.2087,0.7848,0,0.25,348,0.71,35,15.03,973,1.0275,33.86,0.37,,
0.0065,0.2087,0.7848,0,0.25,348,0.696,35,15.02,979,1.0211,27.44,0.51,,
0.0065,0.2087,0.7848,0,0.25,348,0.6666,37,15.04,994,1.0065,20.26,0.23,,
0.0065,0.2087,0.7848,0,0.25,348,0.6533,32,15.15,1002,0.9977,15.06,0.09,,
0.0065,0.2087,0.7848,0,0.25,348,0.6067,38,14.96,1022,0.9782,9.78,0.19,,
0.0065,0.2087,0.7848,0,0.25,348,0.5997,33,14.99,1027,0.9739,7.78,0.38,,
0.0065,0.2087,0.7848,0,0.25,348,0.588,32,15.06,1035,0.9662,5.9,0.08,,
0.0065,0.2087,0.7848,0,0.25,348,0.5648,30,15.07,1049,0.9537,4.5,0.14,,
0.0065,0.2087,0.7848,0,0.25,348,1.7869,37,30.03,903,1.1072,34.86,0.48,,
0.0065,0.2087,0.7848,0,0.25,348,1.7545,35,29.96,908,1.1013,31.96,0.65,,
0.0065,0.2087,0.7848,0,0.25,348,1.7243,35,30.1,914,1.0936,27.28,0.58,,
0.0065,0.2087,0.7848,0,0.25,348,1.6601,33,30.18,927,1.0792,21.84,0.29,,
0.0065,0.2087,0.7848,0,0.25,348,1.5917,35,30.06,938,1.066,16.58,0.13,,
0.0065,0.2087,0.7848,0,0.25,348,1.5535,31,29.98,945,1.0586,11.82,0.75,,
0.0065,0.2087,0.7848,0,0.25,348,1.5469,31,30.03,946,1.0565,14.4,0.26,,
0.0065,0.2087,0.7848,0,0.25,348,1.4673,32,29.98,962,1.0392,9.18,0.1,,
0.0065,0.2087,0.7848,0,0.25,348,1.4012,33,30,977,1.0237,6.56,0.16,,
0.0065,0.2087,0.7848,0,0.25,348,1.3647,36,30,985,1.015,5.56,0.21,,
0.0065,0.2087,0.7848,0,0.25,348,1.3578,31,30.01,987,1.0132,5.56,0.21,,
0.013,0.2074,0.7797,0,0.5,348,0.8122,36,15.01,883,1.133,93.32,1.85,,
0.013,0.2074,0.7797,0,0.5,348,0.8035,33,15.1,887,1.1273,85.18,1.23,,
0.013,0.2074,0.7797,0,0.5,348,0.7302,36,15.03,912,1.0966,57.72,0.78,,
0.013,0.2074,0.7797,0,0.5,348,0.7214,36,15.09,916,1.0914,52.16,0.53,,
0.013,0.2074,0.7797,0,0.5,348,0.6909,36,15.08,928,1.0775,39.34,0.43,,
0.013,0.2074,0.7797,0,0.5,348,0.6612,30,14.99,939,1.0653,22.74,2.2,,
0.013,0.2074,0.7797,0,0.5,348,0.6302,33,15.1,954,1.0478,20.16,0.68,,
0.013,0.2074,0.7797,0,0.5,348,0.624,33,15.01,956,1.0466,16.18,0.69,,
0.013,0.2074,0.7797,0,0.5,348,0.5992,32,15.04,968,1.0333,13.7,0.19,,
0.013,0.2074,0.7797,0,0.5,348,0.5635,32,15.03,985,1.0148,8.06,0.66,,
0.013,0.2074,0.7797,0,0.5,348,0.535,31,14.94,999,1.0008,5.28,0.17,,
0.013,0.2074,0.7797,0,0.5,348,1.8309,33,29.9,850,1.1762,31.3,0.61,,
0.013,0.2074,0.7797,0,0.5,348,1.8116,33,29.98,854,1.1715,29.7,0.37,,
0.013,0.2074,0.7797,0,0.5,348,1.7504,31,30.04,863,1.1586,26.16,0.69,,
0.013,0.2074,0.7797,0,0.5,348,1.6968,32,30.06,871,1.1476,22.18,0.65,,
0.013,0.2074,0.7797,0,0.5,348,1.6284,37,30,882,1.134,19.26,0.08,,
0.013,0.2074,0.7797,0,0.5,348,1.4316,35,29.98,916,1.0911,10.32,0.51,,
0.013,0.2074,0.7797,0,0.5,348,1.4266,34,29.96,917,1.0902,9.56,0.26,,
0.013,0.2074,0.7797,0,0.5,348,1.3562,36,29.97,931,1.0736,7.26,0.23,,
0.013,0.2074,0.7797,0,0.5,348,1.2863,32,29.99,947,1.0564,5.14,0.17,,
0.0256,0.2047,0.7697,0,1,353,0.78,40,14.94,828,1.208,92.14,2.7,,
0.0256,0.2047,0.7697,0,1,353,0.7297,31,15.04,844,1.1844,65.52,2.71,,
0.0256,0.2047,0.7697,0,1,353,0.7189,31,15.09,848,1.1788,52.9,2,,
0.0256,0.2047,0.7697,0,1,353,0.7005,34,15.11,855,1.1701,56.1,2.79,,
0.0256,0.2047,0.7697,0,1,353,0.6527,34,15.08,870,1.149,30.28,1.16,,
0.0256,0.2047,0.7697,0,1,353,0.6246,34,14.96,879,1.1379,25.06,3.92,,
0.0256,0.2047,0.7697,0,1,353,0.6157,35,15.09,884,1.131,21.2,1.46,,
0.0256,0.2047,0.7697,0,1,353,0.5593,36,15.04,906,1.1036,14.26,0.88,,
0.0256,0.2047,0.7697,0,1,353,0.5165,35,15.1,926,1.0795,6.96,0.53,,
0.0256,0.2047,0.7697,0,1,353,0.492,35,15.07,938,1.0663,5.74,0.49,,
0.0256,0.2047,0.3849,0.3848,1,353,2.4281,33,30.08,682,1.4653,18.5,0.93,,
0.0256,0.2047,0.3849,0.3848,1,353,2.1851,34,29.99,700,1.4288,12.88,1.29,,
0.0256,0.2047,0.3849,0.3848,1,363,2.2098,38,30,716,1.3976,10.02,0.74,,
0.0256,0.2047,0.3849,0.3848,1,353,1.8041,35,29.97,733,1.3637,10.34,1.12,4.12,0.37
0.0256,0.2047,0.3849,0.3848,1,353,1.5855,39,29.97,757,1.3218,10.86,0.74,2.68,0.61
0.0256,0.2047,0.3849,0.3848,1,353,1.4504,37,30.05,774,1.2928,12.54,1.94,,
0.0256,0.2047,0.3849,0.3848,1,353,1.2797,34,30.07,797,1.2545,17.04,1.16,,
0.0256,0.2047,0.3849,0.3848,1,353,1.161,35,29.98,815,1.2266,11.82,0.61,,
0.0256,0.2047,0.3849,0.3848,1,353,1.0049,35,29.97,844,1.1855,7.2,0.1,,
0.0256,0.2047,0.3849,0.3848,1,368,1.0257,35,30,870,1.1494,5.16,0.28,,
0.0499,0.1996,0,0.7505,2,373,0.9746,35,14.92,656,1.5234,107.5,2.66,,
0.0499,0.1996,0,0.7505,2,373,0.8333,35,14.88,676,1.4791,57.9,1.17,,
0.0499,0.1996,0,0.7505,2,373,0.782,38,14.97,685,1.4595,46.59,2.05,,
0.0499,0.1996,0,0.7505,2,373,0.7118,36,15,698,1.4332,36.98,0.78,,
0.0499,0.1996,0,0.7505,2,373,0.6344,38,14.96,713,1.403,30.86,0.32,,
